state,district,year,jan-rf,jan-dep,feb-rf,feb-dep,mar-rf,mar-dep,apr-rf,apr-dep,may-rf,may-dep,jun-rf,jun-dep,jul-rf,jul-dep,aug-rf,aug-dep,sep-rf,sep-dep,oct-rf,oct-dep,nov-rf,dec-dep,dec-rf,dec-dep
West Bengal, Jalpaiguri,2010,0.0,-100,3.1,-72,43.0,31,225.8,83,420.8,39,873.1,38,1164.,7   38,783.7,21,552.7,2,73.7,-54,5.6,-36,0.0,-100
West Bengal, Malda,2006,0.0,-100,0.0,-100,9.6,-24,97.3,162,85.9,-18,157.8,-26,188.5,-42,226.9,-14,355.3,50,90.3,-23,9.7,-16,0.0,-100
West Bengal, Malda,2007,0.0,-100,36.4,217,36.2,187,0.0,-100,110.5,6,403.2,89,546.7,67,160.0,-39,183.6,-23,75.9,-35,1.6,-86,0.0,-100
West Bengal, Malda,2008,61.4,395,0.6,-95,3.6,-71,11.7,-68,37.5,-64,394.8,86,456.3,39,256.4,-3,233.2,-2,47.9,-59,0.0,-100,0.0,-100
West Bengal, Malda,2009,1.1,-91,6.8,-41,0.3,-98,0.0,-100,296.7,184,29.9,-86,262.1,-20,320.1,21,135.7,-43,268.5,130,3.8,-67,0.0,-100
West Bengal, Malda,2010,1.1,-91,2.2,-81,0.1,-99,37.8,2,184.4,77,218.3,3,212.9,-35,203.8,-23,220.3,-7,91.9,-21,11.1,-4,5.9,37
West Bengal, Midnapore,2006,0.0,-100,0.0,-100,13.1,-62,39.6,-16,144.9,34,170.8,-30,423.7,38,394.3,17,368.2,19,39.6,-75,9.0,-73,0.0,-100
West Bengal, Midnapore,2007,10.9,-25,68.8,228,58.8,71,45.6,-3,58.8,-46,299.0,22,792.0,157,411.1,22,457.4,47,25.6,-84,36.9,11,0.0,-100
West Bengal, Midnapore,2008,84.5,483,12.6,-40,17.7,-48,72.2,53,99.4,-8,709.3,189,284.6,-8,269.5,-20,286.4,-8,68.7,-57,0.0,-100,0.0,-100
West Bengal, Midnapore,2009,0.1,-99,0.0,-100,17.5,-49,4.3,-91,308.3,185,65.7,-73,280.5,-9,284.7,-15,255.4,-18,88.3,-45,15.6,-53,0.3,-96
